solution_id,orig_time_diff,orig_assign_diff,orig_makespan,lb_time_diff,lb_assign_diff,lb_makespan,gap_time_diff,gap_assign_diff,gap_makespan
175,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
176,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
177,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
178,17.0,3.0,15.0,17.0,3,15.0,0.0,0.0,0.0
179,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
180,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
181,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
182,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
183,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
184,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
185,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
186,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
187,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
188,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
189,25.0,3.0,14.0,25.0,3,14.0,0.0,0.0,0.0
190,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
191,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
192,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
193,18.0,2.0,15.0,18.0,2,13.0,0.0,0.0,0.13333333333333333
194,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
195,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
196,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
197,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
198,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
199,31.0,2.0,13.0,18.0,2,13.0,0.41935483870967744,0.0,0.0
