MS,OS,Time Differences,Assignment Differences,Makespan,Optimal Time Differences,Optimal Assignment Differences,Optimal Makespan
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-11-5-3-2-9-7-6-9-8-0-11-9-3-10-1-8-8-7-0-10-11-1-5-9-0-10-1-5-5-1,304397.00000,7.00000,1485.00000,287111,7,1470
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-3-11-7-5-2-0-9-8-9-6-3-1-11-10-9-8-8-1-0-7-10-5-11-9-0-5-1-1-10-5,304397.00000,7.00000,1485.00000,287111,7,1470
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-3-11-9-9-2-5-7-8-0-10-6-11-3-8-8-1-7-1-9-0-1-10-5-11-0-10-5-1-9-5,264992.00000,9.00000,1445.00000,264992,9,1445
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-11-6-3-9-7-2-9-5-8-0-3-11-1-10-8-8-7-9-1-0-1-11-10-5-0-9-5-10-1-5,264992.00000,9.00000,1445.00000,264992,9,1445
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-3-11-9-2-9-7-6-5-8-1-0-3-10-11-9-8-0-8-7-10-1-5-11-0-10-9-1-5-1-5,304397.00000,7.00000,1485.00000,287111,7,1470
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-3-11-9-2-7-9-6-8-5-1-0-3-10-11-8-8-9-7-0-1-5-11-10-0-9-1-5-1-5-10,304397.00000,7.00000,1485.00000,287111,7,1470
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-11-3-2-9-6-9-7-8-5-0-11-3-10-1-9-8-8-7-0-10-1-5-11-0-5-10-9-1-1-5,304397.00000,7.00000,1485.00000,287111,7,1470
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-11-9-3-6-2-7-5-9-0-8-11-1-10-8-3-8-9-0-7-10-5-1-11-0-5-10-9-1-1-5,304397.00000,7.00000,1485.00000,287111,7,1470
1-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-0-0-1-2-0,8-11-3-9-6-2-5-7-9-0-8-11-3-1-10-8-8-9-7-0-10-5-1-11-0-5-10-9-1-1-5,304397.00000,7.00000,1485.00000,287111,7,1470
0-0-1-0-1-2-0-1-0-1-0-0-0-0-1-2-1-0-0-1-0-0-0-0-0-0-1-0-1-2-0,8-11-6-3-9-7-0-9-2-8-5-3-11-1-10-8-8-7-9-0-1-1-11-10-5-5-9-1-10-0-5,264992.00000,9.00000,1445.00000,264992,9,1445
